AG,Solomon Islands
AN,Nauru
AY,Papua New Guinea
BG,Greenland
BI,Iceland
BK,Kosovo
C,Canada
DA,Algeria
DB,Benin
DF,Burkina Faso
DG,Ghana
DI,Côte d'Ivoire
DN,Nigeria
DR,Niger
DT,Tunisia
DX,Togolese Republic
EB,Belgium
ED,Germany
EE,Estonia
EF,Finland
EG,United Kingdom
EH,Netherlands
EI,Ireland
EK,Denmark
EL,Luxembourg
EN,Norway
EP,Poland
ES,Sweden
ET,Germany
EV,Latvia
EY,Lithuania
FA,South Africa
FB,Botswana
FC,Republic of the Congo
FD,Eswatini
FE,Central African Republic
FG,Equatorial Guinea
FH,Saint Helena
FI,Mauritius
FJ,British Indian Ocean Territory
FK,Cameroon
FL,Zambia
FM,Comoros
FN,Angola
FO,Gabon
FP,São Tomé
FQ,Mozambique
FS,Seychelles
FT,Chad
FV,Zimbabwe
FW,Malawi
FX,Lesotho
FY,Namibia
FZ,Democratic Republic of the Congo
GA,Mali
GB,The Gambia
GC,Spain
GE,Spain
GF,Sierra Leone
GG,Guinea-Bissau
GL,Liberia
GM,Morocco
GO,Senegal
GQ,Mauritania
GS,Western Sahara
GU,Guinea
GV,Cape Verde
HA,Ethiopia
HB,Burundi
HC,Somalia
HD,Djibouti
HE,Egypt
HH,Eritrea
HK,Kenya
HL,Libya
HR,Rwanda
HS,Sudan and South Sudan
HT,Tanzania
HU,Uganda
K,Contiguous United States
LA,Albania
LB,Bulgaria
LC,Cyprus
LD,Croatia
LE,Spain
LF,France
LG,Greece
LH,Hungary
LI,Italy
LJ,Slovenia
LK,Czech Republic
LL,Israel
LM,Malta
LN,Monaco
LO,Austria
LP,Portugal
LQ,Bosnia
LR,Romania
LS,Switzerland
LT,Turkey
LU,Moldova
LV,Palestine
LW,North Macedonia
LX,Gibraltar
LY,Serbia and Montenegro
LZ,Slovakia
MB,Turks
MD,Dominican Republic
MG,Guatemala
MH,Honduras
MK,Jamaica
MM,Mexico
MN,Nicaragua
MP,Panama
MR,Costa Rica
MS,El Salvador
MT,Haiti
MU,Cuba
MW,Cayman Islands
MY,Bahamas
MZ,Belize
NC,Cook Islands
NF,Fiji
NG,Kiribati
NI,Niue
NL,France
NS,Samoa
NT,France
NV,Vanuatu
NW,France
NZ,New Zealand
OA,Afghanistan
OB,Bahrain
OE,Saudi Arabia
OI,Iran
OJ,Jordan and the West Bank
OK,Kuwait
OL,Lebanon
OM,United Arab Emirates
OO,Oman
OP,Pakistan
OR,Iraq
OS,Syria
OT,Qatar
OY,Yemen
PA,US
PB,US
PC,Kiribati
PF,US
PG,US
PH,US
PJ,US
PK,Marshall Islands
PL,Kiribati
PM,US
PO,US
PP,US
PT,Federated States of Micronesia
PW,US
RC,Republic of China
RJ,Japan
RK,Republic of Korea
RO,Japan
RP,Philippines
SA,Argentina
SB,Brazil
SC,Chile
SD,Brazil
SE,Ecuador
SF,United Kingdom
SG,Paraguay
SH,Chile
SI,Brazil
SJ,Brazil
SK,Colombia
SL,Bolivia
SM,Suriname
SN,Brazil
SO,France
SP,Peru
SS,Brazil
SU,Uruguay
SV,Venezuela
SW,Brazil
SY,Guyana
TA,Antigua
TB,Barbados
TD,Dominica
TF,France
TG,Grenada
TI,US
TJ,US
TK,Saint Kitts
TL,Saint Lucia
TN,Caribbean Netherlands
TQ,UK
TR,UK
TT,Trinidad
TU,UK
TV,Saint Vincent
TX,UK
U,Russia
UA,Kazakhstan
UB,Azerbaijan
UC,Kyrgyzstan
UD,Armenia
UG,Georgia
UK,Ukraine
UM,Belarus and Russia
UT,Tajikistan
VA,West India
VC,Sri Lanka
VD,Cambodia
VE,East India
VG,Bangladesh
VH,Hong Kong
VI,North India
VL,Laos
VM,Macau
VN,Nepal
VO,South India
VQ,Bhutan
VR,Maldives
VT,Thailand
VV,Vietnam
VY,Myanmar
WA,Indonesia
WB,Brunei
WI,Indonesia
WM,Malaysia
WP,Timor-Leste
WQ,Indonesia
WR,Indonesia
WS,Singapore
Y,Australia
Z,Mainland China
ZK,North Korea
ZM,Mongolia
